epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.713,1.15367,4.93428,0.02046,1,0.03078,0.38829,0.22668,1.1812,7.96782,0.03184,0.000655556,0.000655556,0.000655556
2,28.009,1.14086,3.42007,0.02065,0.4907,0.39149,0.39636,0.18696,1.44117,5.18628,0.04191,0.00130913,0.00130913,0.00130913
3,39.5728,1.21318,2.50998,0.02234,0.58425,0.53191,0.53835,0.25218,1.50377,2.55299,0.04578,0.00194951,0.00194951,0.00194951
4,51.1262,1.23138,2.04055,0.02278,0.66645,0.58668,0.59802,0.29962,1.73874,2.04101,0.05414,0.0019406,0.0019406,0.0019406
5,62.541,1.22599,1.6479,0.02252,0.78844,0.66383,0.7755,0.44427,1.45553,1.30943,0.04456,0.0019208,0.0019208,0.0019208
6,73.9383,1.17106,1.4508,0.02138,0.69551,0.67234,0.74153,0.44563,1.43301,1.30357,0.04325,0.001901,0.001901,0.001901
7,85.5753,1.12806,1.31019,0.02011,0.67937,0.55902,0.62007,0.33715,1.63187,1.68586,0.0484,0.0018812,0.0018812,0.0018812
8,97.1474,1.07694,1.174,0.01916,0.84631,0.67954,0.79389,0.47394,1.46634,1.15822,0.04609,0.0018614,0.0018614,0.0018614
9,108.633,1.11798,1.18467,0.01892,0.84353,0.68511,0.80517,0.46452,1.43694,1.09753,0.04242,0.0018416,0.0018416,0.0018416
10,120.043,1.07854,1.0711,0.01931,0.88985,0.72766,0.82873,0.55219,1.23165,1.02186,0.0359,0.0018218,0.0018218,0.0018218
11,131.665,1.01608,1.03766,0.0173,0.84022,0.71915,0.82885,0.50831,1.34075,1.0314,0.03925,0.001802,0.001802,0.001802
12,143.075,1.02659,0.97346,0.0179,0.82818,0.74468,0.82247,0.55394,1.15933,0.99861,0.03133,0.0017822,0.0017822,0.0017822
13,154.728,1.01288,0.95486,0.01747,0.80772,0.75077,0.82587,0.54153,1.24782,1.00277,0.03316,0.0017624,0.0017624,0.0017624
14,169.048,1.00111,0.88327,0.01707,0.82156,0.79149,0.85881,0.55055,1.27276,0.92659,0.03415,0.0017426,0.0017426,0.0017426
15,182.065,0.98055,0.91375,0.01615,0.93128,0.77021,0.89018,0.61918,1.14774,0.81173,0.03128,0.0017228,0.0017228,0.0017228
16,195.364,0.9811,0.93146,0.01685,0.88982,0.78298,0.85994,0.58165,1.2877,0.8458,0.03774,0.001703,0.001703,0.001703
17,210.465,0.98783,0.93902,0.01656,0.91234,0.74468,0.86285,0.61044,1.09398,0.82627,0.02982,0.0016832,0.0016832,0.0016832
18,222.206,1.00878,0.87509,0.01656,0.85612,0.77872,0.87085,0.62942,1.06171,0.88588,0.02904,0.0016634,0.0016634,0.0016634
19,233.705,0.96459,0.87489,0.01584,0.89324,0.79574,0.88734,0.63056,1.08327,0.74768,0.02948,0.0016436,0.0016436,0.0016436
20,245.392,0.96202,0.84177,0.01653,0.84307,0.75745,0.87151,0.62237,1.05193,0.79426,0.02857,0.0016238,0.0016238,0.0016238
21,257.141,0.97618,0.87143,0.0161,0.8854,0.75319,0.83943,0.56947,1.19932,0.952,0.03333,0.001604,0.001604,0.001604
22,269.992,0.97381,0.85099,0.01637,0.81673,0.77021,0.82963,0.58919,1.1371,0.88953,0.0314,0.0015842,0.0015842,0.0015842
