epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.68871,1.10644,5.49076,0.01962,0.00281,0.84211,0.18912,0.10848,1.36914,10.0419,0.03972,8e-05,8e-05,8e-05
2,5.64173,0.85592,5.46445,0.01743,0.00281,0.84211,0.19581,0.15254,1.08068,9.67516,0.0284,0.000178218,0.000178218,0.000178218
3,7.44359,0.81937,5.23316,0.01423,0.00316,0.94737,0.19955,0.16277,0.78911,9.25043,0.0202,0.000274456,0.000274456,0.000274456
4,9.21147,0.77199,5.12711,0.01337,0.00333,1,0.24164,0.18062,0.69555,9.06207,0.01992,0.000368714,0.000368714,0.000368714
5,10.9654,0.74471,5.01882,0.0156,0.00333,1,0.35472,0.25054,0.76279,9.14963,0.02133,0.000460992,0.000460992,0.000460992
6,12.7816,0.69439,4.51513,0.01154,0.00316,0.94737,0.3708,0.22436,0.82517,9.22696,0.02422,0.00055129,0.00055129,0.00055129
7,14.5229,0.66463,4.84142,0.01381,0.00316,0.94737,0.30812,0.17812,0.83553,9.17462,0.02022,0.000639608,0.000639608,0.000639608
8,16.17,0.7281,4.31323,0.01405,0.00316,0.94737,0.36385,0.23451,0.77481,9.09947,0.02008,0.000725946,0.000725946,0.000725946
9,17.8063,0.77293,3.8219,0.01538,0.00333,1,0.39866,0.24413,0.80256,9.04161,0.01958,0.000810304,0.000810304,0.000810304
10,19.3803,0.75882,3.90302,0.01527,0.00333,1,0.26971,0.17493,0.8391,9.11816,0.0242,0.000892682,0.000892682,0.000892682
11,20.8819,0.7398,3.77439,0.01361,0.00316,0.94737,0.33013,0.25043,0.84722,9.11289,0.02058,0.00097308,0.00097308,0.00097308
12,22.3758,0.98791,3.9506,0.01917,0.56677,0.26316,0.49701,0.34165,1.03573,8.87407,0.03049,0.0010515,0.0010515,0.0010515
13,24.6571,0.8568,3.37868,0.01668,0.69993,0.24729,0.46822,0.33066,1.02478,8.83937,0.02826,0.00112794,0.00112794,0.00112794
14,26.2801,0.83286,3.17717,0.01485,0.55224,0.21053,0.44646,0.29255,1.02827,8.627,0.02775,0.00120239,0.00120239,0.00120239
15,27.7323,0.77105,3.1471,0.01602,0.52548,0.31579,0.46444,0.33693,0.97168,8.15289,0.02589,0.00127487,0.00127487,0.00127487
16,29.1279,0.87869,3.52472,0.01875,0.77043,0.35451,0.55158,0.40868,1.0676,7.9276,0.02884,0.00134537,0.00134537,0.00134537
17,30.8581,0.78184,2.96566,0.01579,0.9203,0.63158,0.74949,0.48432,1.26779,7.74678,0.03822,0.00141389,0.00141389,0.00141389
18,32.4746,0.80575,2.88762,0.01558,0.64071,0.63158,0.6898,0.3583,1.1446,7.81672,0.03079,0.00148043,0.00148043,0.00148043
19,34.2167,0.91601,2.68641,0.0178,0.56147,0.68421,0.68948,0.29802,1.31605,7.86599,0.0373,0.00154498,0.00154498,0.00154498
20,35.7314,0.8753,2.49763,0.01618,0.68614,0.63158,0.68501,0.35747,1.329,7.02048,0.03933,0.00160756,0.00160756,0.00160756
21,37.2038,0.89339,2.63026,0.0179,1,0.46506,0.70149,0.42283,1.37535,6.47228,0.04024,0.001604,0.001604,0.001604
22,38.6131,0.85704,2.39561,0.01862,0.83213,0.78299,0.80766,0.55198,1.26231,5.49166,0.03419,0.0015842,0.0015842,0.0015842
23,40.0719,0.87623,2.12546,0.01646,0.92826,0.68122,0.79938,0.56083,1.05403,4.9173,0.02987,0.0015644,0.0015644,0.0015644
24,41.5656,0.78031,2.25852,0.01413,0.58629,0.73684,0.76236,0.48446,1.12787,3.99496,0.03302,0.0015446,0.0015446,0.0015446
25,43.115,0.84541,2.15258,0.0165,0.61019,0.63158,0.71997,0.44582,1.13227,3.57247,0.03268,0.0015248,0.0015248,0.0015248
26,44.6052,0.84107,2.05818,0.01474,0.67396,0.68421,0.65578,0.42106,1.07264,3.43863,0.02843,0.001505,0.001505,0.001505
27,46.0354,0.81659,1.88521,0.01412,0.6444,0.5726,0.58898,0.35468,1.25783,3.37477,0.03409,0.0014852,0.0014852,0.0014852
